author,datasets_cited,num_datasets
"Silvio P. Eberhardt, Edward T. Auer, Lynne E. Bernstein",ds003392,1
"Siyi Chen, Zhuanghua Shi, Hermann J. Müller, Thomas Geyer",ds003392,1
"Daria La Rocca, Herwig Wendt, Virginie van Wassenhove, Philippe Ciuciu, Patrice Abry","ds000248,ds003392",2
"Hulusi Kafalıgönül, Can Oluk",ds003392,1
"Dania Rishiq, Aparna Rao, Tess K. Koerner, Harvey B. Abrams",ds003392,1
"Yile Sun, Timothy J. Hickey, Barbara Shinn‐Cunningham, Robert Sekuler",ds003392,1
"Daria La Rocca, Philippe Ciuciu, Denis A. Engemann, Virginie van Wassenhove","ds000248,ds003392",2
"Luigi F. Cuturi, Alessia Tonelli, Giulia Cappagli, Monica Gori",ds003392,1
"Jean‐Rémy Martin, Anne Kösem, Virginie van Wassenhove",ds003392,1
"H. Pelle, Ph. Ciuciu, M. Rahim, Elvis Dohmatob, Patrice Abry, Virginie van Wassenhove","ds000248,ds003392",2
"Yousra Bekhti, Alexandre Gramfort, Nicolas Zilber, Virginie van Wassenhove","ds000248,ds003392",2
"Lawrence D. Rosenblum, Josh Dorsi","ds000248,ds003392",2
"Daria La Rocca, Philippe Ciuciu, Virginie van Wassenhove, Herwig Wendt, Patrice Abry, Roberto Leonarduzzi","ds000248,ds003392",2
"Yousra Bekhti, Nicolas Zilber, Fabian Pedregosa, Philippe Ciuciu, Virginie van Wassenhove, Alexandre Gramfort","ds000248,ds003392",2
"P. Abry, Phipippe Ciuciu, Merlin Dumeur, S. Jaffard, Guillaume Saes","ds000248,ds003392",2
"Weiping Yang, Ruizhi Li, Shengnan LI, Jin‐Fei Lin, Yanna Ren",ds003392,1
"Yash R. Wani, Silvia Convento, Jeffrey M. Yau",ds003392,1
"Milton A. V. Ávila, Rafael Naime Ruggiero, João Pereira Leite, Lézio Soares Bueno-Júnior, Cristina Marta Del‐Ben",ds003392,1
"Mehdi Rahim, Philippe Ciuciu, Salma Bougacha","ds000248,ds003392",2
"Ke Wang, Ying Fang, Qiang Guo, Lu Shen, Qi Chen","ds000248,ds003392",2
Milton Augusto Vendramini de Avila,"ds000248,ds003392",2
